DFS,BFS,IDS,UCS,Astar
"['up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'down', 'right']","['down', 'right', 'up', 'left', 'down', 'right', 'right']","['down', 'right', 'up', 'left', 'down', 'right', 'right']","['down', 'right', 'up', 'left', 'down', 'right', 'right']","['down', 'right', 'up', 'left', 'down', 'right', 'right']"
"['down', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'down']","['right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'down']","['right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'down']","['right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'down']","['right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'down']"
"['up', 'right', 'down', 'down', 'right']","['up', 'right', 'down', 'down', 'right']","['up', 'right', 'down', 'down', 'right']","['up', 'right', 'down', 'down', 'right']","['up', 'right', 'down', 'down', 'right']"
"['up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'down', 'right']","['right', 'down', 'right', 'up', 'left', 'down', 'right']","['right', 'down', 'right', 'up', 'left', 'down', 'right']","['right', 'down', 'right', 'up', 'left', 'down', 'right']","['right', 'down', 'right', 'up', 'left', 'down', 'right']"
"['down', 'down', 'left', 'up', 'right', 'down']","['down', 'down', 'left', 'up', 'right', 'down']","['down', 'down', 'left', 'up', 'right', 'down']","['down', 'down', 'left', 'up', 'right', 'down']","['down', 'down', 'left', 'up', 'right', 'down']"
"['right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'right', 'down']","['right', 'down', 'left', 'down', 'right']","['right', 'down', 'left', 'down', 'right']","['right', 'down', 'left', 'down', 'right']","['right', 'down', 'left', 'down', 'right']"
"['down', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'down']","['right', 'right', 'down', 'down']","['right', 'right', 'down', 'down']","['right', 'right', 'down', 'down']","['right', 'right', 'down', 'down']"
"['up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right']","['right', 'right', 'down']","['right', 'right', 'down']","['right', 'right', 'down']","['right', 'right', 'down']"
"['up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'down', 'right']","['right', 'down']","['right', 'down']","['right', 'down']","['right', 'down']"
"['up', 'left', 'down', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right']",['down'],['down'],['down'],['down']
"['down', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'right', 'down']","['right', 'down', 'right', 'down']","['right', 'down', 'right', 'down']","['right', 'down', 'right', 'down']","['right', 'down', 'right', 'down']"
